"Subject" "Activity" "MeasureType" "Measurement" "Mean"
"1" "LAYING" "Frequency" "BodyAcc" -0.8649817840525
"2" "LAYING" "Frequency" "BodyAcc" -0.978775284583333
"3" "LAYING" "Frequency" "BodyAcc" -0.969388379939516
"4" "LAYING" "Frequency" "BodyAcc" -0.95034596437963
"5" "LAYING" "Frequency" "BodyAcc" -0.967459318629808
"6" "LAYING" "Frequency" "BodyAcc" -0.925596312469956
"7" "LAYING" "Frequency" "BodyAcc" -0.937521039602885
"8" "LAYING" "Frequency" "BodyAcc" -0.937708864928241
"9" "LAYING" "Frequency" "BodyAcc" -0.93393425852425
"10" "LAYING" "Frequency" "BodyAcc" -0.957123855176724
"11" "LAYING" "Frequency" "BodyAcc" -0.97617417379386
"12" "LAYING" "Frequency" "BodyAcc" -0.950308558925
"13" "LAYING" "Frequency" "BodyAcc" -0.959512203205645
"14" "LAYING" "Frequency" "BodyAcc" -0.907813065321078
"15" "LAYING" "Frequency" "BodyAcc" -0.956223260972222
"16" "LAYING" "Frequency" "BodyAcc" -0.964447291678571
"17" "LAYING" "Frequency" "BodyAcc" -0.958731178714789
"18" "LAYING" "Frequency" "BodyAcc" -0.986428346615385
"19" "LAYING" "Frequency" "BodyAcc" -0.973793156475904
"20" "LAYING" "Frequency" "BodyAcc" -0.962537346055147
"21" "LAYING" "Frequency" "BodyAcc" -0.954675173013889
"22" "LAYING" "Frequency" "BodyAcc" -0.934496542519097
"23" "LAYING" "Frequency" "BodyAcc" -0.969351735815972
"24" "LAYING" "Frequency" "BodyAcc" -0.975048703628472
"25" "LAYING" "Frequency" "BodyAcc" -0.778144833165925
"26" "LAYING" "Frequency" "BodyAcc" -0.976729832023026
"27" "LAYING" "Frequency" "BodyAcc" -0.982632115489865
"28" "LAYING" "Frequency" "BodyAcc" -0.95977278271875
"29" "LAYING" "Frequency" "BodyAcc" -0.986753392445652
"30" "LAYING" "Frequency" "BodyAcc" -0.966221344482143
"1" "SITTING" "Frequency" "BodyAcc" -0.948411910026596
"2" "SITTING" "Frequency" "BodyAcc" -0.965557196304348
"3" "SITTING" "Frequency" "BodyAcc" -0.905555804423077
"4" "SITTING" "Frequency" "BodyAcc" -0.935277729175
"5" "SITTING" "Frequency" "BodyAcc" -0.939204442853409
"6" "SITTING" "Frequency" "BodyAcc" -0.94357603075
"7" "SITTING" "Frequency" "BodyAcc" -0.915790965979167
"8" "SITTING" "Frequency" "BodyAcc" -0.95005980923913
"9" "SITTING" "Frequency" "BodyAcc" -0.8965884708355
"10" "SITTING" "Frequency" "BodyAcc" -0.957254061974537
"11" "SITTING" "Frequency" "BodyAcc" -0.957718638183962
"12" "SITTING" "Frequency" "BodyAcc" -0.953700330343137
"13" "SITTING" "Frequency" "BodyAcc" -0.957336255071429
"14" "SITTING" "Frequency" "BodyAcc" -0.941072958145833
"15" "SITTING" "Frequency" "BodyAcc" -0.953996647127119
"16" "SITTING" "Frequency" "BodyAcc" -0.960043787641304
"17" "SITTING" "Frequency" "BodyAcc" -0.97439161734375
"18" "SITTING" "Frequency" "BodyAcc" -0.983162033311404
"19" "SITTING" "Frequency" "BodyAcc" -0.961567925958904
"20" "SITTING" "Frequency" "BodyAcc" -0.950877634375
"21" "SITTING" "Frequency" "BodyAcc" -0.974394545338235
"22" "SITTING" "Frequency" "BodyAcc" -0.943690713094758
"23" "SITTING" "Frequency" "BodyAcc" -0.94624965025
"24" "SITTING" "Frequency" "BodyAcc" -0.96931906125
"25" "SITTING" "Frequency" "BodyAcc" -0.969171504615385
"26" "SITTING" "Frequency" "BodyAcc" -0.956589613113782
"27" "SITTING" "Frequency" "BodyAcc" -0.975775434535714
"28" "SITTING" "Frequency" "BodyAcc" -0.955311974079861
"29" "SITTING" "Frequency" "BodyAcc" -0.9748754365625
"30" "SITTING" "Frequency" "BodyAcc" -0.959031680665323
"1" "STANDING" "Frequency" "BodyAcc" -0.983943343962264
"2" "STANDING" "Frequency" "BodyAcc" -0.965532509560185
"3" "STANDING" "Frequency" "BodyAcc" -0.927959799733607
"4" "STANDING" "Frequency" "BodyAcc" -0.916414558752232
"5" "STANDING" "Frequency" "BodyAcc" -0.907325076850446
"6" "STANDING" "Frequency" "BodyAcc" -0.946049799627193
"7" "STANDING" "Frequency" "BodyAcc" -0.944004307028302
"8" "STANDING" "Frequency" "BodyAcc" -0.95327082389213
"9" "STANDING" "Frequency" "BodyAcc" -0.946882601722222
"10" "STANDING" "Frequency" "BodyAcc" -0.947102219971591
"11" "STANDING" "Frequency" "BodyAcc" -0.982372420292553
"12" "STANDING" "Frequency" "BodyAcc" -0.945258937684426
"13" "STANDING" "Frequency" "BodyAcc" -0.971538177850877
"14" "STANDING" "Frequency" "BodyAcc" -0.945532260291667
"15" "STANDING" "Frequency" "BodyAcc" -0.95929275120283
"16" "STANDING" "Frequency" "BodyAcc" -0.969101564775641
"17" "STANDING" "Frequency" "BodyAcc" -0.978318390128205
"18" "STANDING" "Frequency" "BodyAcc" -0.97255020119863
"19" "STANDING" "Frequency" "BodyAcc" -0.965505945034247
"20" "STANDING" "Frequency" "BodyAcc" -0.922914711284247
"21" "STANDING" "Frequency" "BodyAcc" -0.959940851699438
"22" "STANDING" "Frequency" "BodyAcc" -0.951111057321429
"23" "STANDING" "Frequency" "BodyAcc" -0.959424127573529
"24" "STANDING" "Frequency" "BodyAcc" -0.955458643532609
"25" "STANDING" "Frequency" "BodyAcc" -0.971963061216216
"26" "STANDING" "Frequency" "BodyAcc" -0.969960659560811
"27" "STANDING" "Frequency" "BodyAcc" -0.971565213984375
"28" "STANDING" "Frequency" "BodyAcc" -0.92572430210443
"29" "STANDING" "Frequency" "BodyAcc" -0.982868467846154
"30" "STANDING" "Frequency" "BodyAcc" -0.932080722648305
"1" "WALKING" "Frequency" "BodyAcc" -0.189259899926618
"2" "WALKING" "Frequency" "BodyAcc" -0.350655899647458
"3" "WALKING" "Frequency" "BodyAcc" -0.310375153088578
"4" "WALKING" "Frequency" "BodyAcc" -0.431541805792312
"5" "WALKING" "Frequency" "BodyAcc" -0.291397170621429
"6" "WALKING" "Frequency" "BodyAcc" -0.245343154534803
"7" "WALKING" "Frequency" "BodyAcc" -0.150501491772237
"8" "WALKING" "Frequency" "BodyAcc" -0.0758820930247396
"9" "WALKING" "Frequency" "BodyAcc" -0.263959634656683
"10" "WALKING" "Frequency" "BodyAcc" -0.213490454774057
"11" "WALKING" "Frequency" "BodyAcc" -0.39904475939822
"12" "WALKING" "Frequency" "BodyAcc" -0.24142086651
"13" "WALKING" "Frequency" "BodyAcc" -0.211294466581447
"14" "WALKING" "Frequency" "BodyAcc" -0.246139375153581
"15" "WALKING" "Frequency" "BodyAcc" -0.285443176722014
"16" "WALKING" "Frequency" "BodyAcc" -0.363401357659314
"17" "WALKING" "Frequency" "BodyAcc" -0.303275681584365
"18" "WALKING" "Frequency" "BodyAcc" -0.397500711473214
"19" "WALKING" "Frequency" "BodyAcc" -0.0546064821045433
"20" "WALKING" "Frequency" "BodyAcc" -0.0590833293735294
"21" "WALKING" "Frequency" "BodyAcc" -0.213180747361298
"22" "WALKING" "Frequency" "BodyAcc" -0.10503487942038
"23" "WALKING" "Frequency" "BodyAcc" -0.148057357486229
"24" "WALKING" "Frequency" "BodyAcc" -0.37814229368319
"25" "WALKING" "Frequency" "BodyAcc" -0.473232280861318
"26" "WALKING" "Frequency" "BodyAcc" -0.330423892743644
"27" "WALKING" "Frequency" "BodyAcc" -0.326749204802632
"28" "WALKING" "Frequency" "BodyAcc" -0.30271378104537
"29" "WALKING" "Frequency" "BodyAcc" -0.216904000773939
"30" "WALKING" "Frequency" "BodyAcc" -0.290092776861538
"1" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.0827877428730612
"2" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.0697358958800532
"3" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.153014850227551
"4" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.221932934852222
"5" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.00143742277207447
"6" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.151457646798177
"7" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.0271397615228723
"8" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.13221345449375
"9" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.00866890219098214
"10" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.0272953424309211
"11" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.0633705776415761
"12" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.0759399872263587
"13" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.10151616363984
"14" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.25741783194625
"15" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.107025231763988
"16" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.00817307659909574
"17" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.0684153147375815
"18" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.341103301688636
"19" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.352462685327083
"20" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.114149476166333
"21" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.115914208306667
"22" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.0479231136388889
"23" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" 0.126381695004792
"24" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.147055973527136
"25" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.325206486884267
"26" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.0475467862605
"27" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.0533138448914773
"28" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.0164635394328261
"29" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.0510443545119271
"30" "WALKING_DOWNSTAIRS" "Frequency" "BodyAcc" -0.119064879364859
"1" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.253375797112736
"2" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.172511544407318
"3" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.297917341234534
"4" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.266730754248678
"5" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.137297047214362
"6" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.124064163232966
"7" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.321873093476961
"8" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.0314492583716463
"9" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.365853454129592
"10" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.158226352456968
"11" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.284345667417593
"12" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.320453313322596
"13" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.245469697607886
"14" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" 0.0504446051340278
